"연령별(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"연령별(1)",합계,합계,합계,수원시,수원시,수원시,용인시,용인시,용인시,성남시,성남시,성남시,부천시,부천시,부천시,안산시,안산시,안산시,화성시,화성시,화성시,안양시,안양시,안양시,평택시,평택시,평택시,시흥시,시흥시,시흥시,김포시,김포시,김포시,광명시,광명시,광명시,광주시,광주시,광주시,군포시,군포시,군포시,이천시,이천시,이천시,오산시,오산시,오산시,하남시,하남시,하남시,안성시,안성시,안성시,의왕시,의왕시,의왕시,여주시,여주시,여주시,과천시,과천시,과천시,양평군,양평군,양평군,고양시,고양시,고양시,남양주시,남양주시,남양주시,의정부시,의정부시,의정부시,파주시,파주시,파주시,양주시,양주시,양주시,구리시,구리시,구리시,포천시,포천시,포천시,동두천시,동두천시,동두천시,가평군,가평군,가평군,연천군,연천군,연천군
"연령별(1)",계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여
"합계",13239666,6659995,6579671,1194465,601410,593055,1059609,525946,533663,942724,466644,476080,829996,412500,417496,650918,333766,317152,815396,422470,392926,567044,280652,286392,513027,264012,249015,473682,247804,225878,437221,219552,217669,316552,156405,160147,372654,190774,181880,275852,136878,138974,215834,111244,104590,226379,116904,109475,272455,136985,135470,183405,94227,89178,161153,80353,80800,111083,56427,54656,58289,28638,29651,116874,58654,58220,1066351,522749,543602,701830,349664,352166,451868,222590,229278,454040,230461,223579,222314,112775,109539,199265,98968,100297,148379,78231,70148,94768,47308,47460,62415,32042,30373,43824,22962,20862
"0~4세",525180,269280,255900,46728,24073,22655,44824,22981,21843,31551,16103,15448,27982,14386,13596,20361,10400,9961,48127,24741,23386,19477,9868,9609,21872,11176,10696,21573,10946,10627,23204,11924,11280,11091,5654,5437,17384,8887,8497,10130,5186,4944,8902,4585,4317,11077,5704,5373,13679,7049,6630,6325,3252,3073,6011,3148,2863,3314,1710,1604,1933,1054,879,3174,1593,1581,37041,18814,18227,28310,14549,13761,15621,8139,7482,19753,10078,9675,8510,4389,4121,7305,3785,3520,4066,2114,1952,2827,1462,1365,1605,794,811,1423,736,687
"5~9세",659810,338134,321676,57577,29733,27844,60631,30996,29635,40454,20799,19655,34016,17367,16649,26078,13265,12813,57482,29286,28196,23290,11924,11366,26371,13538,12833,25227,12989,12238,28867,14745,14122,14633,7521,7112,18839,9737,9102,12472,6434,6038,11095,5753,5342,14186,7229,6957,15968,8129,7839,8615,4417,4198,7090,3652,3438,4402,2299,2103,2574,1320,1254,4446,2306,2140,47772,24430,23342,39267,20195,19072,19652,10062,9590,25597,13012,12585,11304,5726,5578,9040,4661,4379,5252,2712,2540,4095,2129,1966,2002,1002,1000,1516,766,750
"10~14세",643213,329803,313410,56983,29260,27723,60670,31201,29469,41827,21457,20370,33812,17349,16463,29034,14979,14055,49789,25338,24451,24967,12934,12033,25481,13028,12453,23847,12065,11782,23680,12006,11674,15368,7836,7532,16288,8204,8084,12754,6554,6200,10746,5551,5195,12667,6503,6164,12280,6287,5993,8716,4479,4237,6742,3477,3265,4556,2363,2193,2870,1491,1379,4780,2486,2294,49239,25160,24079,38366,19695,18671,19749,10187,9562,24162,12408,11754,11513,5906,5607,8703,4571,4132,5781,3040,2741,4203,2071,2132,2176,1132,1044,1464,785,679
"15~19세",712249,368385,343864,66907,34883,32024,62431,32127,30304,49432,25390,24042,40745,21015,19730,39098,20273,18825,42931,22048,20883,30805,15902,14903,27597,14369,13228,26111,13705,12406,21117,10872,10245,17695,9196,8499,17289,8995,8294,15315,7853,7462,11932,6243,5689,12315,6337,5978,11352,5800,5552,9549,4986,4563,8420,4320,4100,5396,2777,2619,3496,1811,1685,4978,2711,2267,59761,30864,28897,39459,20383,19076,24106,12390,11716,24458,12722,11736,12419,6346,6073,10413,5321,5092,7374,3843,3531,4802,2464,2338,2681,1435,1246,1865,1004,861
"20~24세",854474,446051,408423,87558,45469,42089,67683,34815,32868,60804,30936,29868,56208,28936,27272,51902,27210,24692,43757,23077,20680,39108,20287,18821,32666,17374,15292,32392,17260,15132,22782,12005,10777,19999,10409,9590,20976,11103,9873,18124,9473,8651,13322,7268,6054,14010,7257,6753,14495,7499,6996,10972,5866,5106,11175,5848,5327,6236,3336,2900,4046,2141,1905,5295,2857,2438,73457,38003,35454,43026,22351,20675,30858,15673,15185,26214,13987,12227,13377,7137,6240,13575,6938,6637,9110,5106,4004,5701,3102,2599,3142,1766,1376,2504,1562,942
"25~29세",916221,485388,430833,99053,52959,46094,64570,33668,30902,71583,36980,34603,63539,32909,30630,53217,28741,24476,53115,28989,24126,42252,22056,20196,36272,20241,16031,33635,18533,15102,24640,12716,11924,20951,11044,9907,22909,12042,10867,20090,10478,9612,15466,8934,6532,16411,9136,7275,17755,9198,8557,10484,5935,4549,11557,6214,5343,5831,3233,2598,3977,2098,1879,5161,2837,2324,76223,38549,37674,39702,20671,19031,31654,16263,15391,29063,15068,13995,12903,6953,5950,13930,7128,6802,8782,5154,3628,5500,3030,2470,3032,1724,1308,2964,1907,1057
"30~34세",847913,437982,409931,85427,44800,40627,61283,30359,30924,65460,33357,32103,55941,28678,27263,40411,22194,18217,63239,32793,30446,38365,19714,18651,34174,18680,15494,31515,16968,14547,27675,13347,14328,20060,10210,9850,24762,12828,11934,18647,9641,9006,14175,7325,6850,16858,9059,7799,19460,9733,9727,10013,5455,4558,10231,5324,4907,5133,2785,2348,3701,1887,1814,4742,2457,2285,64240,31951,32289,36237,17920,18317,26252,13198,13054,29999,16309,13690,11595,6053,5542,11862,5960,5902,7057,3909,3148,4605,2418,2187,2713,1475,1238,2081,1195,886
"35~39세",1077914,550377,527537,99691,50943,48748,88194,43169,45025,74108,37110,36998,65285,33423,31862,45451,24356,21095,86722,44903,41819,42297,21520,20777,42629,22711,19918,42309,22607,19702,43459,21488,21971,25167,12667,12500,35068,18426,16642,21230,10898,10332,16689,9052,7637,23245,12374,10871,27377,13850,13527,13619,7322,6297,11901,6067,5834,6876,3513,3363,4105,2068,2037,6476,3194,3282,77377,37957,39420,56019,27271,28748,33521,17165,16356,37820,19835,17985,16019,8170,7849,15716,7969,7747,7982,4381,3601,6028,3021,3007,3279,1730,1549,2255,1217,1038
"40~44세",1074539,545054,529485,97379,49142,48237,95033,46322,48711,73342,36042,37300,61262,31110,30152,48159,24765,23394,81208,43199,38009,41181,20257,20924,42697,22547,20150,41132,22330,18802,41754,21575,20179,25591,12612,12979,31305,16644,14661,20676,10228,10448,16703,8379,8324,21423,11436,9987,24588,12836,11752,14011,7462,6549,11166,5681,5485,7334,3727,3607,3909,1831,2078,7259,3674,3585,81408,39473,41935,61268,30341,30927,33255,16737,16518,37110,18883,18227,17543,8847,8696,15420,7739,7681,9050,4754,4296,6643,3436,3207,3534,1866,1668,2196,1179,1017
"45~49세",1215659,618317,597342,108594,54567,54027,105191,52746,52445,86968,43307,43661,71709,35887,35822,63128,31658,31470,73678,39807,33871,50782,24685,26097,47398,25048,22350,45266,23860,21406,38604,20331,18273,29419,14640,14779,33238,17607,15631,25084,12243,12841,18143,9616,8527,20590,10819,9771,22476,11887,10589,15901,8484,7417,13800,6616,7184,8834,4692,4142,5300,2522,2778,9069,4754,4315,104112,50298,53814,67600,34734,32866,41375,20499,20876,42024,21845,20179,21040,11010,10030,18183,8959,9224,12409,6790,5619,8296,4273,4023,4563,2515,2048,2885,1618,1267
"50~54세",1131608,570550,561058,102598,50439,52159,86441,43915,42526,79762,39883,39879,73406,35404,38002,66196,33317,32879,58199,31296,26903,50639,24453,26186,43594,22664,20930,44439,23149,21290,32223,16475,15748,26989,13450,13539,30995,15843,15152,24193,11814,12379,17634,9059,8575,17359,9025,8334,19767,9896,9871,15389,8201,7188,14530,7085,7445,9664,5086,4578,5280,2555,2725,9444,4933,4511,98952,48255,50697,59185,30050,29135,40193,19665,20528,36407,19196,17211,18896,9898,8998,18228,8747,9481,14235,7776,6459,8171,4386,3785,5281,2836,2445,3319,1799,1520
"55~59세",1067220,544587,522633,93332,47448,45884,71451,36690,34761,76646,37942,38704,77591,38182,39409,59943,31816,28127,49697,26567,23130,50589,24793,25796,39868,20974,18894,38595,21164,17431,30521,15742,14779,25584,12619,12965,30525,15461,15064,24123,11823,12300,17299,8993,8306,14852,7666,7186,20666,10010,10656,15443,8070,7373,15109,7312,7797,10539,5481,5058,4998,2466,2532,11574,5843,5731,92171,46425,45746,54574,27972,26602,38580,19185,19395,33215,17318,15897,17913,9419,8494,17677,8947,8730,15526,8562,6964,8146,4217,3929,6387,3312,3075,4086,2168,1918
"60~64세",862325,433052,429273,68991,34450,34541,57390,27835,29555,64980,32243,32737,64411,32024,32387,41502,22114,19388,38018,19424,18594,41649,20599,21050,30498,15463,15035,26238,14069,12169,26417,12947,13470,22608,10746,11862,26732,13448,13284,19288,9537,9751,14483,7568,6915,11129,5530,5599,18995,9200,9795,13639,6900,6739,12598,6290,6308,9900,5044,4856,4016,1991,2025,12028,6002,6026,69326,35387,33939,45810,22585,23225,31780,15533,16247,27555,13815,13740,15870,8023,7847,14054,7156,6898,14140,7751,6389,7407,3695,3712,6597,3446,3151,4276,2237,2039
"65~69세",537047,261574,275473,41459,19917,21542,41331,18787,22544,41534,20063,21471,37711,18713,18998,22192,11148,11044,23857,11842,12015,25085,12623,12462,19119,9065,10054,14031,7236,6795,17440,8315,9125,14520,6991,7529,16826,8448,8378,10924,5462,5462,9158,4506,4652,6807,3301,3506,12714,6269,6445,9393,4697,4696,7127,3657,3470,7122,3606,3516,2482,1198,1284,8936,4399,4537,39657,19323,20334,30534,14515,16019,20309,9551,10758,17469,8358,9111,10272,5049,5223,8529,4210,4319,8145,4248,3897,4938,2311,2627,4612,2347,2265,2814,1419,1395
"70~74세",411432,192380,219052,30847,14297,16550,35603,16175,19428,32051,14682,17369,25694,12396,13298,15732,7421,8311,17281,8449,8832,17512,8232,9280,14903,6766,8137,10017,4731,5286,13827,6711,7116,10351,4813,5538,12076,5990,6086,8068,3737,4331,6903,3358,3545,5179,2387,2792,8989,4645,4344,7110,3380,3730,5018,2416,2602,5325,2633,2692,1888,862,1026,6907,3483,3424,31976,14090,17886,24055,11236,12819,16573,7401,9172,14997,6826,8171,8682,4126,4556,6378,2918,3460,6739,3278,3461,4532,1959,2573,3539,1732,1807,2680,1250,1430
"75~79세",325840,140267,185573,23747,9977,13770,27576,12862,14714,24276,10710,13566,18804,7933,10871,12787,5222,7565,12824,5534,7290,13234,5648,7586,12647,5232,7415,8010,3310,4700,10059,4452,5607,7827,3276,4551,8652,4027,4625,6468,2697,3771,5855,2507,3348,4110,1702,2408,5689,2675,3014,6100,2584,3516,3838,1676,2162,4747,2084,2663,1569,636,933,5728,2694,3034,28293,11483,16810,18807,8309,10498,13642,5793,7849,13089,5505,7584,6938,3071,3867,5021,2136,2885,5649,2384,3265,4192,1671,2521,3254,1457,1797,2408,1020,1388
"80~84세",220092,83895,136197,15905,5805,10100,17217,7451,9766,15817,6178,9639,12468,4321,8147,9248,3201,6047,9063,3436,5627,9087,3326,5761,9097,3352,5745,5521,1916,3605,6484,2594,3890,4998,1762,3236,5169,2083,3086,4641,1700,2941,4298,1642,2656,2592,982,1610,3470,1340,2130,4787,1827,2960,2660,977,1683,3401,1339,2062,1133,431,702,3937,1579,2358,20717,7815,12902,11723,4653,7070,8896,3421,5475,8911,3443,5468,4473,1790,2683,3125,1195,1930,4185,1585,2600,2852,1094,1758,2367,965,1402,1850,692,1158
"85~89세",105248,32465,72783,7776,2330,5446,8076,2834,5242,7773,2374,5399,6287,1767,4520,4416,1250,3166,4473,1321,3152,4587,1319,3268,4066,1211,2855,2580,699,1881,3035,957,2078,2487,674,1813,2404,737,1667,2457,808,1649,2082,673,1409,1089,347,742,1695,442,1253,2377,720,1657,1447,416,1031,1689,546,1143,607,183,424,1979,611,1368,10013,3276,6737,5287,1620,3667,3936,1255,2681,4114,1348,2766,2057,641,1416,1430,453,977,1922,606,1316,1185,394,791,1112,357,755,810,296,514
"90~94세",38207,9089,29118,2904,673,2231,3074,809,2265,3100,763,2337,2335,528,1807,1584,322,1262,1488,317,1171,1598,373,1225,1454,382,1072,940,195,745,1110,268,842,845,203,642,884,189,695,888,241,647,710,169,541,347,74,273,729,154,575,736,138,598,550,133,417,587,128,459,279,65,214,711,179,532,3495,882,2613,1910,444,1466,1395,359,1036,1521,360,1161,720,165,555,457,117,340,696,150,546,460,130,330,391,103,288,309,76,233
"95~99세",9561,2333,7228,723,168,555,767,172,595,821,210,611,564,116,448,374,92,282,336,69,267,373,92,281,400,123,277,215,48,167,257,64,193,229,48,181,239,55,184,212,51,161,177,44,133,86,22,64,207,58,149,176,40,136,138,31,107,159,30,129,77,20,57,190,49,141,812,236,576,482,112,370,318,70,248,380,90,290,206,45,161,147,35,112,210,65,145,105,27,78,103,30,73,78,21,57
"100세 이상",3914,1032,2882,286,77,209,173,32,141,435,115,320,226,56,170,105,22,83,112,34,78,167,47,120,224,68,156,89,24,65,66,18,48,140,34,106,94,20,74,68,20,48,62,19,43,47,14,33,104,28,76,50,12,38,45,13,32,38,15,23,49,8,41,60,13,47,309,78,231,209,58,151,203,44,159,182,55,127,64,11,53,72,23,49,69,23,46,80,18,62,45,18,27,41,15,26
